"microcolony_number","batch","colony_derived_from","treatment","corrected_consumption","day"
"31","2","1","control",4.08,4
"32","2","1","control",4.475,4
"33","2","2","control",4.047,4
"34","2","2","control",3.079,4
"35","2","3","control",4.748,4
"36","2","3","control",3.106,4
"37","2","5","control",3.917,4
"38","2","5","control",5.31100000000001,4
"39","2","6","control",5.049,4
"40","2","6","control",3.49,4
"51","2","1","fpf-pure",4.72600000000001,4
"52","2","1","fpf-pure",5.15100000000001,4
"53","2","2","fpf-pure",4.76100000000001,4
"54","2","2","fpf-pure",4.149,4
"55","2","3","fpf-pure",4.742,4
"56","2","3","fpf-pure",6.32500000000001,4
"57","2","5","fpf-pure",5.165,4
"58","2","5","fpf-pure",4.65900000000001,4
"59","2","6","fpf-pure",3.749,4
"60","2","6","fpf-pure",4.64200000000001,4
"61","3","1","control",5.93766666666666,4
"62","3","1","control",5.58666666666667,4
"63","3","2","control",4.44666666666667,4
"64","3","2","control",4.46566666666667,4
"65","3","3","control",4.83166666666667,4
"66","3","3","control",5.75466666666666,4
"68","3","5","control",5.34166666666667,4
"69","3","6","control",5.17466666666667,4
"70","3","6","control",5.72566666666667,4
"81","3","1","fpf-pure",5.41066666666666,4
"82","3","1","fpf-pure",4.65166666666666,4
"83","3","2","fpf-pure",5.36066666666666,4
"84","3","2","fpf-pure",3.77966666666667,4
"85","3","3","fpf-pure",5.67266666666666,4
"86","3","3","fpf-pure",4.57666666666666,4
"87","3","5","fpf-pure",5.38366666666667,4
"88","3","5","fpf-pure",5.16066666666666,4
"89","3","6","fpf-pure",4.75066666666667,4
"90","3","6","fpf-pure",5.14066666666666,4
"1","1","1","control",6.10333333333333,6
"2","1","1","control",5.58033333333333,6
"3","1","2","control",4.98633333333333,6
"4","1","2","control",4.63233333333334,6
"5","1","3","control",4.95933333333333,6
"6","1","3","control",5.57533333333333,6
"7","1","5","control",4.06733333333333,6
"8","1","5","control",3.94233333333333,6
"9","1","6","control",4.70033333333334,6
"10","1","6","control",6.17333333333333,6
"21","1","1","fpf-pure",5.29133333333333,6
"22","1","1","fpf-pure",5.44633333333333,6
"23","1","2","fpf-pure",4.66833333333333,6
"24","1","2","fpf-pure",4.85433333333334,6
"25","1","3","fpf-pure",5.25033333333333,6
"26","1","3","fpf-pure",7.68533333333333,6
"27","1","5","fpf-pure",5.94533333333333,6
"28","1","5","fpf-pure",6.14133333333333,6
"29","1","6","fpf-pure",5.92833333333333,6
"30","1","6","fpf-pure",4.92333333333333,6
"31","2","1","control",4.486,6
"32","2","1","control",3.655,6
"33","2","2","control",4.547,6
"34","2","2","control",2.86900000000001,6
"35","2","3","control",5.128,6
"36","2","3","control",2.78700000000001,6
"37","2","5","control",5.122,6
"38","2","5","control",6.22400000000001,6
"39","2","6","control",5.512,6
"40","2","6","control",3.665,6
"51","2","1","fpf-pure",3.28100000000001,6
"52","2","1","fpf-pure",4.86100000000001,6
"53","2","2","fpf-pure",4.224,6
"54","2","2","fpf-pure",4.031,6
"55","2","3","fpf-pure",5.145,6
"56","2","3","fpf-pure",5.416,6
"57","2","5","fpf-pure",5.727,6
"58","2","5","fpf-pure",6.057,6
"59","2","6","fpf-pure",3.70200000000001,6
