DALA_h,residue_measurement_ugkg
-24,7
-24,59
-24,48
1,2777
1,3304
1,3064
2.5,2038
2.5,2031
2.5,2726
4,1235
4,1709
4,1360
24,699
24,871
24,687
48,301
48,331
48,379
72,150
72,148
72,175
96,191
96,223
96,254
120,102
120,119
120,132
144,54
144,57
144,60
168,37
168,39
168,46
192,20
192,21
192,29
216,12
216,16
216,17
240,83
240,10
240,15
